Variable	Units	Type	Model Minimum	Model Maximum	Model Default	Sensitivity Minimum	Sensitivity Maximum	Sensitivity Default
aversion to NPV deviation	Dmnl	Float	0	5	0.2	0.06	2.66	0.2
base external investor ask rate	1/year	Float	0	24	8	2.4	18.4	8
bioproduct long term price	USD/tonProduct	Float	1	10000	5000	1500.5	9000	5000
bioproduct performance advantage	tonProduct/tonIncumbent	Float	0.1	10	1	0.35	5.8	1
commercial capital cost input	USD	Float	0	2e+09	4.01248e+08	120374400	1320998400	4.01248e+08
commercial plant capacity	tonProduct/year	Float	1	5e+06	28630	8589.5	2522904	28630
commercial plant capacity input	tonProduct/year	Float	1	5e+06	28630	8589.5	2522904	28630
commercial process yield input	tonProduct/tonFeedstock	Float	0.01	1	0.77	0.236	1.116	0.77
commercial variable operating cost input	USD/tonProduct	Float	0	2000	1219	365.7	1975.2	1219
expected continuity of government policy	Dmnl	Float	0	1	1	0.3	1.3	1
government capital cost share	Dmnl	Float	0	1	0.5	0.15	0.9	0.5
government production incentive	USD/tonProduct	Float	0	10000	0	0	5000	0
initial market size	tonProduct/year	Float	100	1e+08	200000	60050	50160000	200000
management response time	year	Float	0.019	5	0.3	0.0995	2.74	0.3
market growth rate	1/year	Float	0	0.15	0.05	0.015	0.115	0.05
minimum runway	year	Float	0.019	5	0.3	0.0995	2.74	0.3
number of missed stagegates allowed	stages	Float	0	10	3	0.9	7.4	3
payback period multiplier	Dmnl	Float	0	10	1	0.3	5.8	1
pilot and demo response time	year	Float	0.019	5	0.25	0.0845	2.7	0.25
pilot capacity	tonProduct/year	Float	1	1e+06	900	270.5	500720	900
piloting acceptable rate	hours/year	Float	168	8766	7500	2334	10383	7500
piloting failure default recovery time	year	Float	0.25	3	0.45	0.26	1.86	0.45
piloting failure distribution max	Dmnl	Float	0	10	5	1.5	9	5
random stream	Dmnl	Integer	0	?	0	0	24	0
required internal return	1/year	Float	0.01	5	0.08	0.029	2.564	0.08
required return multiplier	Dmnl	Float	0.01	10	1	0.305	5.8	1
researching impact on piloting	Dmnl	Float	0	0.95	0.25	0.075	0.675	0.25
startup piloting period	hours	Float	0	1000	500	150	900	500
startup piloting rate	hours/year	Float	100	8766	200	110	4543	200
strategic value to external investors	USD	Float	0	1e+09	0	0	500000000	0
target demo hours	hours	Float	100	17532	5000	1550	12766	5000
target pilot hours	hours	Float	100	17532	3000	950	11166	3000
